2017-05-01 17:52:44,395 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.alba.ist:Eboutique:0.0.1-SNAPSHOT @ C:\Users\Fode\WorsktationTest\JPA\pom.xml.
2017-05-01 17:53:22,960 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-01 17:53:23,099 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 17:53:23,129 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-01 17:53:23,138 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-01 17:53:23,138 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Fode\WorsktationTest\JPA\src\test\resources
2017-05-01 18:01:01,411 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-8.1.16.v20140903
2017-05-01 18:01:01,568 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@127.0.0.1:50307
2017-05-01 18:01:14,438 [qtp14744792-72] WARN  o.eclipse.jetty.http.HttpGenerator - Ignoring extra content 



2017-05-01 20:14:33,564 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.alba:boutique:1.0.0-BUILD-SNAPSHOT @ C:\Users\Fode\WorsktationTest\EBoutique\pom.xml.
2017-05-01 20:14:51,070 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:14:51,104 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:14:51,136 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:14:51,139 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:14:56,287 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:14:56,302 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:14:56,316 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:14:56,321 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:16:13,092 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:16:13,095 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-01 20:16:13,098 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:16:13,165 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-01 20:18:13,824 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:18:13,830 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:18:13,835 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:18:13,838 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-01 20:21:09,917 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:21:09,922 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:21:09,928 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:21:09,931 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-01 20:23:40,092 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:23:40,098 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-01 20:23:40,104 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-01 20:23:40,108 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
